num,school,department,discipline_name,gsat,chi,eng,math_a,math_b,phy,che,bio,his,geo,cit,ele,same_1,same_2,same_3,rank_108,select_score_108,ori_score_108,avg_108,num_want_108,num_sel_108,low_108,high_108,people_in_108,percent_in_108,rank_107,select_score_107,ori_score_107,avg_107,num_want_107,num_sel_107,low_107,high_107,people_in_107,percent_in_107,profile
1005,輔仁大學,臨床心理學系,社會與心理,,1.25,2,1,,,,1.25,,,,,英文,國文,數甲,6,377,274.18,68.55,19,19,272.01,276,4521,0.3013,6,320.9,256.72,64.18,17,17,256.01,260,4640,32.24,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/02048.html
1006,東吳大學,社會工作學系,社會與心理,,1.5,1.5,,1,,,,,,1.5,,國文,英文,數乙,18,376.23,273.62,68.41,39,39,272.01,276,6290,0.2822,23,320.93,233.4,58.35,59,60,232.01,236,8277,35.54,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00506.html
1007,輔仁大學,心理學系,社會與心理,,2,2,1.5,,,,,,,,,英文,國文,數甲,16,372.2,203.02,67.67,16,16,201.01,204,6858,0.2812,19,346.7,189.11,63.04,29,29,189.01,192,7826,32.69,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/02015.html
1008,國立屏東大學,社會發展學系,社會與心理,,1,1,,,,,,1,1,1,,公民,歷史,地理,11,338.1,338.1,67.62,10,11,335.01,340,6536,0.3034,11,310.7,310.7,62.14,13,13,310.01,315,7669,34.35,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03605.html
1009,國立暨南國際大學,諮商心理與人力資源發展學系終身學習與人力資源發展組,社會與心理,,1.25,1.5,,1.25,,,,,,1,,英文,國文,數乙,20,336.83,269.46,67.37,8,8,268.01,272,6709,0.301,19,306.35,245.08,61.27,6,6,244.01,248,7177,30.82,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05822.html
1010,國立暨南國際大學,社會政策與社會工作學系,社會與心理,,1.5,1.5,,1,,,,1,,1.5,,公民,英文,國文,54,437.08,336.22,67.24,12,12,335.01,340,6358,0.2892,53,385.78,296.75,59.35,18,18,295.01,300,8218,35.76,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05811.html
1011,輔仁大學,兒童與家庭學系,社會與心理,,2,2,,1,,,,,,,,國文,英文,數乙,135,335.3,201.18,67.06,19,19,201.01,204,11979,0.3376,24,345.3,230.2,57.55,22,23,228.01,232,8663,37.2,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/02025.html
1012,國立屏東大學,教育心理與輔導學系,社會與心理,,1.5,1.5,,1.25,,,,,,1,,國文,英文,數乙,21,351.55,267.85,66.96,20,20,264.01,268,7080,0.3176,21,331.6,241.16,60.29,17,17,240.01,244,7556,32.45,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03602.html
1013,東海大學,社會學系,社會與心理,,2,1.5,,,,,,,,1.5,,國文,英文,公民,19,325.2,195.12,65.04,32,33,195.01,198,8660,0.3787,29,297.4,198.27,49.57,57,58,196.01,200,11750,50.46,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00937.html
1014,元智大學,社會暨政策科學學系,社會與心理,,1,1,,,,,,,,1,,英文,國文,公民,20,194.9,194.9,64.97,10,10,192.01,195,9107,0.3983,11,162.7,162.7,54.23,9,10,162.01,165,10613,44.77,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04010.html
1015,亞洲大學,心理學系(諮商與臨床心理組),社會與心理,,1,2,,,,,,,1,2,,英文,國文,地理,1,384.3,256.2,64.05,2,2,256.01,260,8235,0.3809,1,330.7,220.47,55.12,4,4,220.01,224,10759,48.07,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/13414.html
1016,亞洲大學,心理學系(心理師研修組),社會與心理,,1,2,1,,,,,,,,,數甲,英文,國文,26,255.6,191.7,63.9,1,1,189.01,192,9006,0.3692,24,239.5,179.62,59.88,2,2,177.01,180,9640,40.27,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/13448.html
1017,輔仁大學,宗教學系,社會與心理,,2,2,,,,,,1.5,,,,國文,歷史,英文,29,350.8,191.35,63.78,7,8,189.01,192,9571,0.3718,23,301.65,164.54,54.85,6,6,162.01,165,12583,44.52,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/02023.html
1018,國立金門大學,社會工作學系,社會與心理,,2,1.5,,1,,,,,,2,,國文,公民,英文,25,413.38,254.39,63.6,3,3,252.01,256,8277,0.3713,30,320.25,197.08,49.27,16,16,196.01,200,11750,50.46,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/15323.html
1019,東海大學,社會工作學系,社會與心理,,2,2,,,,,,,,1.75,,英文,國文,公民,24,365.2,190.54,63.51,47,48,189.01,192,9560,0.4181,17,291.1,151.88,50.63,50,51,150.01,153,12516,52.79,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00909.html
1020,亞洲大學,心理學系(工商與社會心理組),社會與心理,,1,2,,,,,,,1,2,,英文,國文,公民,2,378.1,252.07,63.02,2,2,252.01,256,8659,0.4005,2,322,214.67,53.67,4,4,212.01,216,11720,52.37,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/13428.html
1021,國立臺南藝術大學,藝術史學系,社會與心理,,1,1.5,,,,,,1,1,1,,英文,國文,歷史,15,342.18,311.07,62.21,20,21,310.01,315,8935,0.4147,146,350.48,259.61,51.92,33,34,255.01,260,13504,51.45,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/06304.html
